x;y;z
2597;6593;6180
3187;6739;6119
3712;6790;6105
4223;6832;6076
4654;6810;6095
5017;6722;6114
5280;6593;6166
5505;6439;6264
5736;6286;6316
5929;6111;6401
6104;5938;6458
6233;5758;6512
6369;5573;6565
6455;5379;6628
6543;5184;6709
6604;5000;6783
6623;4856;6817
6627;4734;6864
6630;4628;6926
6618;4560;6971
6591;4499;6988
6590;4464;7004
6597;4459;7017
6609;4472;6986
6622;4471;6986
6617;4475;6980
6625;4475;6951
6616;4471;6977
6601;4469;6995
6592;4462;6999
6591;4461;7006
6587;4462;7019
6610;4466;6987
6617;4475;7004
6612;4462;7003
6613;4469;6963
6650;4446;6969
6632;4374;6985
6642;4313;7008
6631;4262;7039
6576;4218;7063
6441;4177;7141
6242;4148;7192
6011;4118;7291
5811;4091;7368
5671;4107;7430
5586;4111;7464
5552;4110;7462
5499;4076;7510
5341;4003;7576
5199;3930;7654
5083;3882;7703
5056;3856;7749
5019;3844;7783
4993;3868;7783
4971;3881;7790
4840;3855;7860
4426;3739;7949
4144;3664;8024
3957;3621;8104
3712;3556;8175
3438;3503;8240
3159;3441;8331
2860;3363;8397
2676;3318;8466
2454;3272;8521
2251;3244;8559
2081;3230;8582
1933;3213;8616
1818;3200;8618
1754;3191;8639
1660;3164;8665
1594;3165;8672
1440;3140;8708
1205;3117;8717
967;3106;8722
746;3095;8766
571;3088;8768
453;3078;8751
392;3086;8731
348;3108;8730
289;3144;8723
229;3185;8675
201;3230;8662
140;3234;8650
77;3228;8639
65528;3213;8630
65438;3223;8632
65318;3227;8639
65202;3226;8610
65090;3204;8637
65029;3165;8666
65016;3132;8661
65053;3152;8682
65131;3189;8635
65226;3222;8633
65302;3240;8603
65383;3264;8621
65445;3305;8600
65452;3411;8549
27;3592;8438
215;3644;8426
346;3609;8441
417;3615;8440
469;3723;8368
572;3821;8328
706;3863;8311
805;3846;8318
880;3812;8345
954;3871;8280
1034;3925;8264
1094;3940;8258
1128;3921;8273
1137;3886;8280
1131;3873;8303
1136;3908;8269
1141;3927;8264
1139;3918;8280
1141;3889;8284
1129;3873;8279
1136;3904;8288
1134;3926;8261
1138;3893;8268
1130;3875;8300
1140;3892;8273
1140;3909;8249
1129;3890;8277
1139;3883;8302
1139;3904;8285
1137;3896;8284
1134;3886;8292
1141;3897;8289
1134;3894;8274
1139;3887;8282
1127;3898;8294
1143;3888;8285
1137;3893;8302
1138;3900;8284
1136;3947;8239
1045;3984;8184
872;3904;8208
888;3848;8274
876;3816;8311
744;3781;8338
603;3758;8325
505;3744;8329
408;3754;8320
395;3799;8254
439;3889;8210
419;3946;8158
319;3954;8171
188;3938;8185
6;3916;8205
65393;3898;8193
65220;3889;8182
65012;3869;8160
64800;3842;8149
64613;3820;8138
64488;3847;8093
64405;3878;8077
64305;3910;8021
64177;3917;7985
63984;3915;7962
63748;3911;7926
63492;3882;7871
63301;3871;7847
63182;3874;7801
63129;3909;7742
63078;3955;7687
63007;3999;7635
62901;4056;7543
62765;4098;7440
62614;4122;7376
62461;4129;7310
62273;4084;7292
62101;4037;7274
61968;4034;7216
61881;4041;7163
61813;4066;7088
61744;4105;7024
61677;4131;6967
61590;4153;6879
61483;4158;6834
61356;4124;6803
61238;4098;6780
61191;4123;6709
61195;4195;6637
61197;4253;6566
61146;4277;6464
61059;4282;6400
60968;4301;6307
60882;4315;6226
60785;4307;6188
60672;4263;6155
60534;4197;6147
60344;4090;6163
60118;3949;6166
59883;3797;6201
59643;3634;6268
59435;3478;6332
59253;3325;6423
59133;3234;6471
59112;3229;6460
59115;3228;6463
59116;3233;6475
59117;3232;6472
59115;3232;6458
59120;3227;6464
59119;3231;6459
59116;3236;6462
59119;3232;6444
59113;3231;6473
59120;3233;6448
59112;3232;6457
59114;3231;6467
59112;3230;6450
59116;3229;6449
59110;3226;6449
59117;3234;6458
59117;3234;6475
59117;3231;6454
59117;3234;6464
59113;3230;6459
59120;3230;6455
59116;3227;6445
59116;3231;6451
59111;3228;6467
59110;3222;6462
59075;3189;6472
58956;3090;6525
58885;3030;6544
58862;3022;6541
58858;3025;6536
58740;2999;6460
58609;2988;6360
58524;2993;6285
58450;2987;6218
58354;2944;6163
58173;2844;6131
57884;2659;6133
57492;2409;6174
57109;2159;6178
56853;1993;6175
56683;1906;6148
56570;1845;6116
56484;1796;6065
56412;1778;6033
56320;1743;5962
56210;1699;5915
56109;1661;5762
56033;1633;5686
55948;1624;5589
55845;1606;5500
55838;1615;5425
55818;1619;5396
55800;1635;5300
55789;1650;5203
55750;1651;5099
55690;1634;5003
55632;1603;4928
55500;1544;4825
55332;1446;4742
55177;1331;4621
55045;1255;4518
54982;1223;4436
54944;1208;4339
54886;1175;4201
54796;1130;4094
54720;1058;3975
54642;1003;3877
54595;964;3757
54552;941;3649
54567;942;3521
54590;975;3429
54678;1032;3323
54760;1100;3224
54832;1162;3164
54934;1252;3070
55053;1338;2939
55157;1416;2797
55200;1439;2633
55220;1453;2511
55248;1455;2385
55306;1473;2234
55362;1497;2069
55449;1538;1918
55467;1515;1786
55412;1407;1686
55346;1280;1523
55290;1175;1323
55243;1053;1135
55191;932;985
55096;818;913
55055;744;880
55048;740;883
55040;743;854
55033;742;876
55030;742;878
55035;737;889
55022;735;882
55040;735;877
55028;734;874
55021;736;863
55025;736;874
55034;735;880
55057;737;871
55033;731;870
55034;735;871
55037;729;864
55029;736;869
55038;734;886
55030;731;875
55029;734;871
55030;733;881
55041;732;873
55033;739;869
55037;738;868
55029;732;874
55026;735;883
55031;734;886
55035;740;865
55031;742;887
55035;740;866
55031;738;874
55032;736;887
55033;736;873
55029;736;876
55026;737;883
55025;736;856
54927;656;930
54659;448;1075
54600;379;1111
54593;383;1109
54646;402;1040
54744;422;853
54872;419;647
54910;350;405
54973;235;206
55064;140;65508
55117;21;65272
55149;65417;65006
55305;65367;64783
55533;65417;64544
55800;65504;64298
56041;10;64102
56230;65530;63895
56411;65474;63698
56567;65392;63480
56722;65309;63321
56839;65193;63163
56888;65062;63042
56962;64922;62923
57047;64816;62802
57176;64758;62697
57323;64755;62555
57491;64764;62456
57677;64760;62324
57885;64737;62160
58097;64702;62039
58305;64655;61897
58466;64595;61788
58587;64562;61688
58711;64553;61609
58858;64556;61557
59071;64525;61434
59311;64435;61266
59508;64332;61128
59671;64287;61046
59812;64298;60963
60004;64306;60880
60141;64312;60846
60236;64308;60794
60388;64306;60709
60527;64314;60649
60632;64344;60611
60740;64410;60539
60847;64467;60492
60849;64479;60491
60844;64483;60501
60873;64491;60476
60863;64481;60495
60866;64484;60483
60857;64480;60494
60871;64488;60475
60867;64486;60487
60863;64486;60473
60872;64490;60484
60874;64489;60473
60881;64491;60476
60878;64490;60476
60873;64490;60492
60873;64490;60464
60866;64488;60466
60869;64486;60490
60868;64487;60494
60872;64495;60474
60875;64494;60484
60875;64488;60496
60872;64492;60473
60870;64489;60492
60875;64491;60474
60870;64489;60490
60875;64485;60492
60883;64485;60471
60868;64490;60500
60848;64481;60504
60814;64470;60568
60831;64522;60596
60934;64649;60570
61105;64758;60518
61463;64877;60423
61875;65044;60278
62343;65249;60141
62820;65484;60004
63238;146;59914
63546;289;59813
63826;398;59757
63972;463;59728
64142;511;59673
64320;555;59634
64449;583;59608
64559;599;59586
64621;594;59541
64680;602;59513
64751;623;59466
64900;652;59455
65015;673;59445
65247;702;59428
4;793;59387
289;854;59329
466;896;59306
605;920;59303
720;939;59266
780;955;59289
859;951;59284
1013;916;59313
1283;859;59367
1450;822;59330
1452;901;59315
1694;1172;59253
2164;1475;59103
2494;1635;58961
2507;1641;58960
2333;1448;59019
2012;1281;59166
1795;1178;59237
1785;1077;59241
1806;1135;59225
1942;1254;59181
2154;1387;59108
2289;1444;59037
2308;1464;59036
2251;1431;59069
2118;1371;59126
1983;1296;59157
1943;1257;59185
1996;1303;59152
2115;1371;59100
2205;1418;59071
2236;1429;59065
2175;1399;59087
2054;1339;59138
1977;1286;59150
1980;1285;59153
2065;1342;59130
2158;1392;59097
2186;1405;59085
2140;1383;59104
2054;1333;59131
2008;1301;59154
2052;1339;59135
2125;1381;59130
2134;1382;59107
2092;1362;59109
2038;1326;59153
2042;1328;59129
2101;1367;59130
2125;1381;59102
2095;1362;59129
2046;1331;59122
2057;1346;59110
2095;1352;59098
2058;1336;59129
2063;1350;59132
2081;1355;59101
2057;1346;59138
2074;1347;59134
2065;1352;59131
2067;1350;59120
2080;1354;59123
2061;1348;59130
2070;1352;59142
2073;1350;59146
2062;1353;59137
2068;1349;59118
2065;1348;59118
2068;1354;59132
2063;1355;59141
2067;1357;59134
2065;1352;59119
2066;1354;59147
2063;1351;59135
2061;1355;59125
2064;1353;59134
2064;1348;59132
